location_id,Location,city_id
1,"Kanathur Reddikuppam, Chennai",1
2,"Ramanathan Nagar, Pozhichalur,Chennai",1
3,"Kasthuribai Nagar, West Tambaram,Chennai",1
4,"Naveenilaya,Chepauk, Triplicane,Chennai",1
5,"Rose Avenue, Pallikaranai,Chennai",1
6,"Ramakrishna Puram, West Mambalam,Chennai",1
7,"Deepak home,Mettuppalayam, Ashok Nagar,Chennai",1
8,"Tirumurthy Nagar, Nungambakkam,Chennai",1
9,"Muttukadu, Chennai",1
10,"Kolapakkam - Vandalur, Chennai",1
11,"penta concept enclave,Thiruverkkadu, Chennai",1
12,"Swarnambigai Nagar, Virugambakkam,Chennai",1
13,"Bharathi Nagar, Ayanavaram,Chennai",1
14,"LAND MARVEL KARPAGAMBAL,Jeth Nagar, Chennai",1
15,"TNHB Colony, Villivakkam,Chennai",1
16,"Anchorage,Mandavelipakkam, Raja Annamalai Puram,Chennai",1
17,"Lakshmipuram, Kolathur,Chennai",1
18,"Dharan Singh Colony, Vadapalani,Chennai",1
19,"Maruthi Nagar, Sembakkam,Chennai",1
20,"Padupakkam, Triplicane,Chennai",1
21,"Tirupathi Nagar, Valasaravakkam,Chennai",1
22,"Thirumangalam, Anna Nagar West,Chennai",1
23,"Ambattur, Chennai",1
24,"Iyyappanthangal, Chennai",1
25,"Chinnaiyan Colony, Perambur,Chennai",1
26,"Surya Nagar, Kotturpuram,Chennai",1
27,"Vijaya Gardens, Valasaravakkam,Chennai",1
28,"Parthasarathy Puram, T Nagar,Chennai",1
29,"Periyar Nagar, Tiruvottiyur,Chennai",1
30,"Tirumalai Nagar, Koyambedu,Chennai",1
31,"Annamalai Colony, Saligramam,Chennai",1
32,"Sai sivam,Thirumangalam, Anna Nagar West,Chennai",1
33,"Adityaram Nagar, Panaiyur,Chennai",1
34,"Gotha Medu Housing Board, Saidapet,Chennai",1
35,"Padur, Chennai",1
36,"Sholinganallur, Chennai",1
37,"Ekkatuthangal, Chennai",1
38,"Oragadam Ambattur, Chennai",1
39,"ramus redidency,KK Nagar, Chennai",1
40,"SRI DEVI NEDIL,Drivers Colony, T Nagar,Chennai",1
41,"TAPAS,T Nagar, Chennai",1
42,"india builder,Kathiravan Colony, Anna Nagar,Chennai",1
43,"Kalanikethan apartments ,Aspiran Garden Colony, Kilpauk,Chennai",1
44,"Thangam apartment ,Kathiravan Colony, Anna Nagar,Chennai",1
45,"Guna home,Dharan Singh Colony, Vadapalani,Chennai",1
46,"Periyar Nagar, Velachery,Chennai",1
47,"Manthope Colony, Ashok Nagar,Chennai",1
48,"Natesa Nagar, Virugambakkam,Chennai",1
49,"Unamancheri, Kolapakkam, Kolapakkam - Vandalur,Chennai",1
50,"Duraisamy Nagar, Kotturpuram,Chennai",1
51,"Siddharth Sriyaji apartments,Choolai, Chennai",1
52,"Karunakaran Enclave,Jagannathan Colony, Perambur,Chennai",1
53,"Arjunamedu, Thiruverkkadu,Chennai",1
54,"Own building ,Ramakrishna Puram, West Mambalam,Chennai",1
55,"Kamdar Nagar, Nungambakkam,Chennai",1
56,"Thiruvenkatapuram, Choolaimedu,Chennai",1
57,"Shiradi,Shakthi Nagar, Kodambakkam,Chennai",1
58,"Suyambu Ganapathi Apartment,CIT Nagar, Chennai",1
59,"Nungambakkam, Chennai",1
60,"Kamaraj Nagar, Choolaimedu,Chennai",1
61,"Aspiran Garden Colony, Kilpauk,Chennai",1
62,"Sendhur tower alwarpet ,Sri Ram Nagar, Alwarpet,Chennai",1
63,"Prakash Nagar, Ponniammanmedu,Chennai",1
64,"Purasawalkam, Chennai",1
65,"Sembiyan, Perambur,Chennai",1
66,"Kannammapet, CIT Nagar,Chennai",1
67,"SVAGATA,Ramakrishna Nagar, Raja Annamalai Puram,Chennai",1
68,"Ss tares,Subbarayan Nagar, Teynampet,Chennai",1
69,"ADHITHIYA VARMAN VENTURES,Lalitha Nagar, Thiruvanmiyur,Chennai",1
70,"Pallikaranai, Chennai",1
71,"Pushpa Colony, Saligramam,Chennai",1
72,"Abhinandan Vaishnavi,AL Block, Anna Nagar,Chennai",1
73,"Abinandan Vaishnavi,Kathiravan Colony, Anna Nagar,Chennai",1
74,"Trustpuram, Kodambakkam,Chennai",1
75,"Gandhi Nagar, Adyar,Chennai",1
76,"Swetha opel,Sector 5, KK Nagar,Chennai",1
77,"Kapali Thottam, Mylapore,Chennai",1
78,"Nolambur, Ambattur Industrial Estate,Chennai",1
79,"Ayyappa Nagar, Pallavaram,Chennai",1
80,"Kotturpuram, Chennai",1
81,"Rajaji Nagar Extention, Madipakkam,Chennai",1
82,"Tapas,Parthasarathy Puram, T Nagar,Chennai",1
83,"palavakkam vgp,VGP Layout, Palavakkam,Chennai",1
84,"UTOPIA,Indira Nagar, Adyar,Chennai",1
85,"Vasudeva Nagar Extension, Thiruvanmiyur,Chennai",1
86,"vinyakapuram,Venkataraman Nagar, Korattur,Chennai",1
87,"Casagrand Primera,Girigori Nagar, Manapakkam,Chennai",1
88,"Reddi Kuppam, West Mambalam,Chennai",1
89,"Kanathur, Uthandi,Chennai",1
90,"Thirunagar, Jafferkhanpet,Chennai",1
91,"Abode by Atikramya,Aspiran Garden Colony, Kilpauk,Chennai",1
92,"Somasundara Bharathi Nagar, Vadapalani,Chennai",1
93,"Kathirvedu, Puzhal,Chennai",1
94,"gains,Annamalai Colony, Saligramam,Chennai",1
95,"Kottur,Surya Nagar, Kotturpuram,Chennai",1
96,"Egmore, Chennai",1
97,"TVS Industries, Padi,Chennai",1
98,"Rajaram Mehta Nagar, Aminjikarai,Chennai",1
99,"Nerkundram, Koyambedu,Chennai",1
100,"Korukkupet, Washermanpet,Chennai",1
101,"Dummingkuppam, Santhome,Chennai",1
102,"Vivekananda Nagar, Thoraipakkam,Chennai",1
103,"Suriyammapet, Saidapet,Chennai",1
104,"Swagatham Apartments,Nungambakkam, Chennai",1
105,"Normal fla,Manthope Colony, Ashok Nagar,Chennai",1
106,"Vyasarnagar Colony, Vyasarpadi,Chennai",1
107,"Kulattur, Chennai",1
108,"Velachery, Chennai",1
109,"Vistas,Andal Nagar, Adambakkam,Chennai",1
110,"Adayalampet, Maduravoyal,Chennai",1
111,"SBI Staff Colony, Arumbakkam,Chennai",1
112,"Block I, Annanagar East,Chennai",1
113,"Saraswathi Nagar, Neelankarai,Chennai",1
114,"Nammalwarpet, Ayanavaram,Chennai",1
115,"Sri Ram Nagar, Alwarpet,Chennai",1
116,"Breeze,Jamaliya Nagar, Perambur,Chennai",1
117,"Arumbakkam, Chennai",1
118,"SHREE LAKSMI VILLA,Luz, Mylapore,Chennai",1
119,"Choolaimedu, Chennai",1
120,"Royal Villa Metro Owners near VGN Krona,Sakthi Avenue, Gerugambakkam,Chennai",1
121,"BARACA ,Venkatasamy Nagar, Shenoy Nagar,Chennai",1
122,"Sakal Apartment ,Saraswathi Nagar, Neelankarai,Chennai",1
123,"Mahalingapuram, Nungambakkam,Chennai",1
124,"Jayalalitha Nagar, Mogappair,Chennai",1
125,"D-Sector, Anna Nagar West Extension,Chennai",1
126,"Sri Kapaleeswarar Nagar, Neelankarai,Chennai",1
127,"Shakthi Nagar, Kodambakkam,Chennai",1
128,"Rangarajapuram, Kodambakkam,Chennai",1
129,"Baraca Apartments ,Aminjikarai, Chennai",1
130,"Balaji Nagar, Royapettah,Chennai",1
131,"Palavakkam, Chennai",1
132,"Owners Court Egmore,Mukta Gardens, Chetpet,Chennai",1
133,"Uthandi, Chennai",1
134,"Venkatesapuram Colony, Ayanavaram,Chennai",1
135,"Vepery, Periyamet,Chennai",1
136,"Yeswanth Nagar, Madambakkam,Chennai",1
137,"Alandur, Chennai",1
138,"Kattankulathur, Chennai",1
139,"Thiruvallur, Chennai",1
140,"Ma. Po. Si. Nagar, Thiruvallur,Chennai",1
141,"Sathiyamoorthy Nagar, Tiruvottiyur,Chennai",1
142,"Chepauk, Triplicane,Chennai",1
143,"Kovalam, Chennai",1
144,"Santhosapuram, Medavakkam,Chennai",1
145,"Udhayam Nagar, Velachery,Chennai",1
146,"sree krishna,Nagarjuna Nagar, Kodambakkam,Chennai",1
147,"Subham Nagar,Perumal Nagar Extension, Old Pallavaram,Chennai",1
148,"Priya nagar,Urapakkam, Chennai",1
149,"Harmony Villas,Iyyappanthangal, Chennai",1
150,"Kanchipuram, Chennai",1
151,"Avadi, Chennai",1
152,"Sadasivam Nagar, Madipakkam,Chennai",1
153,"Kattangulathur,SRM Nagar, Kattankulathur,Chennai",1
154,"Palaniappa Nagar, Valasaravakkam,Chennai",1
155,"Sumugam colony ,VOC Nagar, Pammal,Chennai",1
156,"Madambakkam, Chennai",1
157,"Mahalakshmi Nagar, Puzhal,Chennai",1
158,"Tulasingapuram, Nandambakkam,Chennai",1
159,"Perumal Nagar Extension, Old Pallavaram,Chennai",1
160,"JV Enterprises,Egmore, Chennai",1
161,"Sankarapuram, Sithalapakkam,Chennai",1
162,"Anna Enclave, Injambakkam,Chennai",1
163,"Pudumanaikuppam, Old Washermanpet,Chennai",1
164,"Karapakkam, Chennai",1
165,"Water Front,Kovalam, Chennai",1
166,"VOC Nagar, Pammal,Chennai",1
167,"Chinna Chembarambakkam, Ayanavaram,Chennai",1
168,"Puzhal, Chennai",1
169,"Ranganathapuram, Medavakkam,Chennai",1
170,"Villivalam, Chennai",1
171,"shabeels,Venkata Rathinam Nagar, Adyar,Chennai",1
172,"Padmavathy Nagar, Velachery,Chennai",1
173,"Jamaliya Nagar, Perambur,Chennai",1
174,"Ganapathi Nagar, Vanagaram ,Chennai",1
175,"Kannan Colony, Pazhavanthangal,Chennai",1
176,"Poonamallee, Chennai",1
177,"Vicky construction,Vengaivasal, Medavakkam,Chennai",1
178,"LALITH,Chennai Port Trust, Chennai",1
179,"New Washermanpet, Tondiarpet,Chennai",1
180,"Vyasarpadi Industrial Estate, Vyasarpadi,Chennai",1
181,"Alex Nagar Colony, Madhavaram Milk Colony,Chennai",1
182,"WATER FRONT THE BLUE BAY PARADISE,Kovalam, Chennai",1
183,"Lalitha Nagar, Thiruvanmiyur,Chennai",1
184,"Water front villa ,Kovalam, Chennai",1
185,"Indira Nagar, Adyar,Chennai",1
186,"MGR Nagar, Velachery,Chennai",1
187,"Ganesh Puram, Vyasarpadi,Chennai",1
188,"City Square Enterprises Waterfront Kovalam Chennai,Thiruvidandhai, Chennai",1
189,"Jaganathapuram, Sikkarayapuram,Chennai",1
190,"Mullai Nagar, West Tambaram,Chennai",1
191,"Thiruvalluvar Nagar, Kodungaiyur East,Chennai",1
192,"Kundrathur, Chennai",1
193,"Korattur Tank, Korattur,Chennai",1
194,"Anthony Nagar, Kolathur,Chennai",1
195,"Grand Lyon, Red Hills,Chennai",1
196,"Guru Swamy Nagar, Anakaputhur,Chennai",1
197,"Seetharam Nagar, Kodungaiyur West,Chennai",1
198,"Hirco Palace Gardens, Chennai",1
199,"Aavasa pa,Civil Aviation Colony, Nanganallur,Chennai",1
200,"Maraimalai Nagar, Chennai",1
201,"Maraimalai Nagar Part, Chennai",1
202,"Panneer Nagar, Mogappair,Chennai",1
203,"Pari Nagar, Pallikaranai,Chennai",1
