Property_Name,Price,Total_Area(SQFT),Price_per_SQFT,property_type_id,location_id,room_config_id,Location,Balcony,property_id
Casagrand ECR 14,19900000.0,2583,7700.0,1,1,1,"Kanathur Reddikuppam, Chennai",1,1
"Ramanathan Nagar, Pozhichalur,Chennai",22500000.0,7000,3210.0,2,2,2,"Ramanathan Nagar, Pozhichalur,Chennai",1,2
DAC Prapthi,10000000.0,1320,7580.0,1,3,3,"Kasthuribai Nagar, West Tambaram,Chennai",0,3
"Naveenilaya,Chepauk, Triplicane,Chennai",33300000.0,4250,7840.0,2,4,4,"Naveenilaya,Chepauk, Triplicane,Chennai",1,4
DRA 90 Degrees,13000000.0,1444,9000.0,1,5,3,"Rose Avenue, Pallikaranai,Chennai",0,5
"Ramakrishna Puram, West Mambalam,Chennai",85000000.0,6000,14170.0,3,6,5,"Ramakrishna Puram, West Mambalam,Chennai",1,6
"Deepak home,Mettuppalayam, Ashok Nagar,Chennai",11500000.0,878,13100.0,1,7,6,"Deepak home,Mettuppalayam, Ashok Nagar,Chennai",1,7
Ramcons Dominion,26000000.0,1658,15680.0,1,8,3,"Tirumurthy Nagar, Nungambakkam,Chennai",1,8
VGN Coasta,29700000.000000004,4200,7070.0,1,9,7,"Muttukadu, Chennai",1,9
"Ramanathan Nagar, Pozhichalur,Chennai",16200000.000000002,2838,5710.0,2,2,8,"Ramanathan Nagar, Pozhichalur,Chennai",1,10
CasaGrand Vistaaz,10800000.0,1566,6900.0,3,10,3,"Kolapakkam - Vandalur, Chennai",0,11
"penta concept enclave,Thiruverkkadu, Chennai",10000000.0,2350,4250.0,1,11,1,"penta concept enclave,Thiruverkkadu, Chennai",1,12
"Swarnambigai Nagar, Virugambakkam,Chennai",25000000.0,2500,10000.0,2,12,9,"Swarnambigai Nagar, Virugambakkam,Chennai",1,13
"Bharathi Nagar, Ayanavaram,Chennai",24000000.0,2300,10430.0,2,13,1,"Bharathi Nagar, Ayanavaram,Chennai",1,14
"LAND MARVEL KARPAGAMBAL,Jeth Nagar, Chennai",12000000.0,1100,10910.0,1,14,6,"LAND MARVEL KARPAGAMBAL,Jeth Nagar, Chennai",1,15
"TNHB Colony, Villivakkam,Chennai",22500000.0,2400,9380.0,2,15,1,"TNHB Colony, Villivakkam,Chennai",1,16
"Anchorage,Mandavelipakkam, Raja Annamalai Puram,Chennai",16000000.0,1350,11850.0,1,16,3,"Anchorage,Mandavelipakkam, Raja Annamalai Puram,Chennai",1,17
"Lakshmipuram, Kolathur,Chennai",12000000.0,1350,8890.0,2,17,3,"Lakshmipuram, Kolathur,Chennai",0,18
"Dharan Singh Colony, Vadapalani,Chennai",27500000.0,1940,14180.0,2,18,10,"Dharan Singh Colony, Vadapalani,Chennai",1,19
Vasantham,11500000.0,1712,6720.0,1,19,3,"Maruthi Nagar, Sembakkam,Chennai",1,20
"Padupakkam, Triplicane,Chennai",23900000.0,1328,18000.0,2,20,10,"Padupakkam, Triplicane,Chennai",1,21
"Tirupathi Nagar, Valasaravakkam,Chennai",51300000.0,5400,9500.0,2,21,11,"Tirupathi Nagar, Valasaravakkam,Chennai",1,22
Golden Jubilee Flats,10000000.0,1100,9090.0,1,22,3,"Thirumangalam, Anna Nagar West,Chennai",1,23
"Ambattur, Chennai",37800000.0,3300,11450.0,2,23,12,"Ambattur, Chennai",1,24
Prestige Bella Vista,13000000.0,1791,7260.0,1,24,3,"Iyyappanthangal, Chennai",1,25
Ozone Metrozone,30000000.0,2661,11270.0,1,22,1,"Thirumangalam, Anna Nagar West,Chennai",1,26
"Chinnaiyan Colony, Perambur,Chennai",65000000.0,8000,8130.000000000001,2,25,13,"Chinnaiyan Colony, Perambur,Chennai",1,27
"Surya Nagar, Kotturpuram,Chennai",23000000.0,1650,13940.0,1,26,3,"Surya Nagar, Kotturpuram,Chennai",1,28
"Vijaya Gardens, Valasaravakkam,Chennai",30000000.0,3500,8570.0,2,27,14,"Vijaya Gardens, Valasaravakkam,Chennai",1,29
GR Natarajan Sundaravedam,27500000.0,1495,18390.0,1,28,3,"Parthasarathy Puram, T Nagar,Chennai",0,30
"Periyar Nagar, Tiruvottiyur,Chennai",11000000.0,1800,6110.0,2,29,6,"Periyar Nagar, Tiruvottiyur,Chennai",1,31
BSR Nerkundram,11500000.0,1400,8210.0,2,30,10,"Tirumalai Nagar, Koyambedu,Chennai",0,32
"Annamalai Colony, Saligramam,Chennai",11000000.0,1196,9200.0,1,31,3,"Annamalai Colony, Saligramam,Chennai",0,33
"Ambattur, Chennai",42000000.0,4800,8750.0,2,23,15,"Ambattur, Chennai",1,34
"Sai sivam,Thirumangalam, Anna Nagar West,Chennai",15300000.0,1340,11420.0,1,32,3,"Sai sivam,Thirumangalam, Anna Nagar West,Chennai",1,35
Adityaram Nagar Phase 5,26000000.0,3500,7430.0,3,33,7,"Adityaram Nagar, Panaiyur,Chennai",1,36
CasaGrand Monte Carlo,24400000.0,1881,12970.0,1,34,3,"Gotha Medu Housing Board, Saidapet,Chennai",1,37
Pacifica Happiness Towers,12500000.0,2232,5600.0,1,35,1,"Padur, Chennai",1,38
Pacifica Aurum Villas,14000000.0,2117,6610.0,3,35,1,"Padur, Chennai",1,39
Prestige Courtyards by Prestige Estates Projects Ltd.,13200000.0,1689,7820.0,1,36,3,"Sholinganallur, Chennai",1,40
Golden Luxury Villas by Golden Homes,29000000.0,1200,24170.0,3,37,3,"Ekkatuthangal, Chennai",0,41
Aurum Villas,16500000.0,2150,7670.0,3,35,16,"Padur, Chennai",1,42
Casagrand Arena,12500000.0,1545,8090.0,3,38,3,"Oragadam Ambattur, Chennai",1,43
Pacifica Aurum Villas by Pacifica Companies,15000000.0,2200,6820.0,1,35,1,"Padur, Chennai",1,44
"ramus redidency,KK Nagar, Chennai",11700000.0,980,11940.0,1,39,6,"ramus redidency,KK Nagar, Chennai",0,45
"SRI DEVI NEDIL,Drivers Colony, T Nagar,Chennai",38000000.0,1987,19120.0,1,40,3,"SRI DEVI NEDIL,Drivers Colony, T Nagar,Chennai",1,46
"TAPAS,T Nagar, Chennai",25000000.0,1484,16850.0,1,41,3,"TAPAS,T Nagar, Chennai",1,47
"india builder,Kathiravan Colony, Anna Nagar,Chennai",22500000.0,1461,15400.0,1,42,3,"india builder,Kathiravan Colony, Anna Nagar,Chennai",0,48
"Kalanikethan apartments ,Aspiran Garden Colony, Kilpauk,Chennai",14500000.0,1340,10820.0,1,43,3,"Kalanikethan apartments ,Aspiran Garden Colony, Kilpauk,Chennai",0,49
"Thangam apartment ,Kathiravan Colony, Anna Nagar,Chennai",17500000.0,1600,10940.0,1,44,3,"Thangam apartment ,Kathiravan Colony, Anna Nagar,Chennai",1,50
Navins Kaushik,16000000.0,1269,12610.0,1,6,3,"Ramakrishna Puram, West Mambalam,Chennai",1,51
"Guna home,Dharan Singh Colony, Vadapalani,Chennai",10000000.0,2400,4170.0,1,45,8,"Guna home,Dharan Singh Colony, Vadapalani,Chennai",1,52
Sudharshan Homes,10400000.0,1152,9000.0,1,46,6,"Periyar Nagar, Velachery,Chennai",0,53
"Manthope Colony, Ashok Nagar,Chennai",10500000.0,960,10940.0,1,47,6,"Manthope Colony, Ashok Nagar,Chennai",1,54
"Manthope Colony, Ashok Nagar,Chennai",10500000.0,960,10940.0,1,47,6,"Manthope Colony, Ashok Nagar,Chennai",1,55
Krishna Flats,11500000.0,1365,8420.0,1,48,6,"Natesa Nagar, Virugambakkam,Chennai",0,56
Vijay Raja Classic,11000000.0,1734,6340.0,3,49,3,"Unamancheri, Kolapakkam, Kolapakkam - Vandalur,Chennai",1,57
"Duraisamy Nagar, Kotturpuram,Chennai",24000000.0,1840,13040.0,1,50,3,"Duraisamy Nagar, Kotturpuram,Chennai",1,58
"Siddharth Sriyaji apartments,Choolai, Chennai",10000000.0,1150,8700.0,1,51,6,"Siddharth Sriyaji apartments,Choolai, Chennai",0,59
"Karunakaran Enclave,Jagannathan Colony, Perambur,Chennai",12000000.0,944,12710.0,1,52,6,"Karunakaran Enclave,Jagannathan Colony, Perambur,Chennai",0,60
"Arjunamedu, Thiruverkkadu,Chennai",17000000.0,2800,6070.0,3,53,14,"Arjunamedu, Thiruverkkadu,Chennai",1,61
VGN Coasta,13000000.0,1540,8440.0,1,9,3,"Muttukadu, Chennai",0,62
"Own building ,Ramakrishna Puram, West Mambalam,Chennai",45000000.0,3700,12160.0,1,54,17,"Own building ,Ramakrishna Puram, West Mambalam,Chennai",1,63
Tulip Apartment,13500000.0,1150,11740.0,1,55,6,"Kamdar Nagar, Nungambakkam,Chennai",0,64
Man Pearl Reside,11000000.0,1260,8730.0,1,56,3,"Thiruvenkatapuram, Choolaimedu,Chennai",1,65
"Parthasarathy Puram, T Nagar,Chennai",11500000.0,990,11620.0,1,28,6,"Parthasarathy Puram, T Nagar,Chennai",1,66
"Thirumangalam, Anna Nagar West,Chennai",10700000.0,890,12020.0,1,22,6,"Thirumangalam, Anna Nagar West,Chennai",1,67
"Thirumangalam, Anna Nagar West,Chennai",10700000.0,890,12020.0,1,22,6,"Thirumangalam, Anna Nagar West,Chennai",0,68
"Shiradi,Shakthi Nagar, Kodambakkam,Chennai",12000000.0,1170,10260.0,1,57,6,"Shiradi,Shakthi Nagar, Kodambakkam,Chennai",0,69
"Suyambu Ganapathi Apartment,CIT Nagar, Chennai",19400000.0,1300,14920.0,1,58,6,"Suyambu Ganapathi Apartment,CIT Nagar, Chennai",0,70
Akshaya Level Up,47000000.0,2700,17410.0,1,59,16,"Nungambakkam, Chennai",1,71
"Kamaraj Nagar, Choolaimedu,Chennai",70000000.0,7094,9870.0,2,60,18,"Kamaraj Nagar, Choolaimedu,Chennai",1,72
"KG Royal Palm, Kilpauk",25000000.0,2500,10000.0,2,61,14,"Aspiran Garden Colony, Kilpauk,Chennai",1,73
"Sendhur tower alwarpet ,Sri Ram Nagar, Alwarpet,Chennai",16000000.0,1350,11850.0,1,62,3,"Sendhur tower alwarpet ,Sri Ram Nagar, Alwarpet,Chennai",1,74
"Prakash Nagar, Ponniammanmedu,Chennai",12500000.0,1000,12500.0,2,63,3,"Prakash Nagar, Ponniammanmedu,Chennai",1,75
"Purasawalkam, Chennai",20000000.0,2500,8000.0,1,64,16,"Purasawalkam, Chennai",1,76
"Parthasarathy Puram, T Nagar,Chennai",11000000.0,1100,10000.0,1,28,3,"Parthasarathy Puram, T Nagar,Chennai",0,77
"Sembiyan, Perambur,Chennai",22500000.0,3600,6250.0,2,65,19,"Sembiyan, Perambur,Chennai",1,78
Casa Grande Novus,16900000.0,768,22000.0,1,66,20,"Kannammapet, CIT Nagar,Chennai",1,79
"SVAGATA,Ramakrishna Nagar, Raja Annamalai Puram,Chennai",39000000.0,1962,19880.0,1,67,3,"SVAGATA,Ramakrishna Nagar, Raja Annamalai Puram,Chennai",1,80
"Ss tares,Subbarayan Nagar, Teynampet,Chennai",11000000.0,880,12500.0,1,68,6,"Ss tares,Subbarayan Nagar, Teynampet,Chennai",0,81
"Dharan Singh Colony, Vadapalani,Chennai",49900000.0,2400,20790.0,2,18,1,"Dharan Singh Colony, Vadapalani,Chennai",1,82
"ADHITHIYA VARMAN VENTURES,Lalitha Nagar, Thiruvanmiyur,Chennai",24200000.0,1575,15340.0,1,69,3,"ADHITHIYA VARMAN VENTURES,Lalitha Nagar, Thiruvanmiyur,Chennai",1,83
"Pallikaranai, Chennai",10000000.0,1200,8330.0,3,70,3,"Pallikaranai, Chennai",1,84
Jain West Minster,15000000.0,1385,10830.0,1,71,3,"Pushpa Colony, Saligramam,Chennai",1,85
"Abhinandan Vaishnavi,AL Block, Anna Nagar,Chennai",16500000.0,1284,12850.0,1,72,6,"Abhinandan Vaishnavi,AL Block, Anna Nagar,Chennai",0,86
"Abinandan Vaishnavi,Kathiravan Colony, Anna Nagar,Chennai",16500000.0,1284,12850.0,1,73,3,"Abinandan Vaishnavi,Kathiravan Colony, Anna Nagar,Chennai",1,87
 Jadhav Jain Atisaya,12000000.0,1120,10710.0,1,74,6,"Trustpuram, Kodambakkam,Chennai",0,88
Sumanth Sreshta Leela,46500000.0,2340,19870.0,1,75,16,"Gandhi Nagar, Adyar,Chennai",1,89
"Swetha opel,Sector 5, KK Nagar,Chennai",18500000.0,1438,12890.0,1,76,3,"Swetha opel,Sector 5, KK Nagar,Chennai",1,90
Macro Jus,28900000.0,1750,16510.0,1,77,3,"Kapali Thottam, Mylapore,Chennai",1,91
VGN LA PARISIENNE ,11000000.0,1309,8400.0,1,78,3,"Nolambur, Ambattur Industrial Estate,Chennai",1,92
"Ayyappa Nagar, Pallavaram,Chennai",15000000.0,763,19660.0,2,79,21,"Ayyappa Nagar, Pallavaram,Chennai",0,93
Euro Flats,22000000.0,1900,11580.0,1,80,3,"Kotturpuram, Chennai",1,94
Mahalakshmi Apartments,12500000.0,1149,10880.0,1,81,3,"Rajaji Nagar Extention, Madipakkam,Chennai",0,95
"Thirumangalam, Anna Nagar West,Chennai",35000000.0,1100,31820.0,2,22,22,"Thirumangalam, Anna Nagar West,Chennai",1,96
"Tapas,Parthasarathy Puram, T Nagar,Chennai",25000000.0,1484,16850.0,1,82,3,"Tapas,Parthasarathy Puram, T Nagar,Chennai",1,97
"palavakkam vgp,VGP Layout, Palavakkam,Chennai",10000000.0,1152,8680.0,1,83,6,"palavakkam vgp,VGP Layout, Palavakkam,Chennai",0,98
"UTOPIA,Indira Nagar, Adyar,Chennai",28000000.0,1875,14930.0,1,84,3,"UTOPIA,Indira Nagar, Adyar,Chennai",1,99
"Vasudeva Nagar Extension, Thiruvanmiyur,Chennai",69000000.0,5050,13660.0,3,85,11,"Vasudeva Nagar Extension, Thiruvanmiyur,Chennai",1,100
"Vasudeva Nagar Extension, Thiruvanmiyur,Chennai",66000000.0,4500,14670.0,3,85,11,"Vasudeva Nagar Extension, Thiruvanmiyur,Chennai",1,101
"vinyakapuram,Venkataraman Nagar, Korattur,Chennai",15000000.0,1800,8330.0,3,86,3,"vinyakapuram,Venkataraman Nagar, Korattur,Chennai",1,102
"Casagrand Primera,Girigori Nagar, Manapakkam,Chennai",12500000.0,1652,7570.0,1,87,3,"Casagrand Primera,Girigori Nagar, Manapakkam,Chennai",1,103
Sri Rama Nivas,13000000.0,1225,10610.0,1,88,3,"Reddi Kuppam, West Mambalam,Chennai",1,104
"Kanathur, Uthandi,Chennai",34000000.0,3793,8960.0,3,89,16,"Kanathur, Uthandi,Chennai",1,105
"Thirunagar, Jafferkhanpet,Chennai",23000000.0,1200,19170.0,2,90,6,"Thirunagar, Jafferkhanpet,Chennai",0,106
"Abode by Atikramya,Aspiran Garden Colony, Kilpauk,Chennai",29800000.0,2259,13190.0,1,91,1,"Abode by Atikramya,Aspiran Garden Colony, Kilpauk,Chennai",1,107
"Muttukadu, Chennai",10000000.0,2290,4370.0,3,9,16,"Muttukadu, Chennai",1,108
Appaswamy Arcot Terrace,16000000.0,1231,13000.0,1,92,6,"Somasundara Bharathi Nagar, Vadapalani,Chennai",0,109
"Kathirvedu, Puzhal,Chennai",12200000.0,2000,6100.0,2,93,20,"Kathirvedu, Puzhal,Chennai",1,110
"gains,Annamalai Colony, Saligramam,Chennai",14000000.0,1385,10110.0,1,94,3,"gains,Annamalai Colony, Saligramam,Chennai",0,111
"Kottur,Surya Nagar, Kotturpuram,Chennai",12800000.0,1240,10320.0,1,95,6,"Kottur,Surya Nagar, Kotturpuram,Chennai",0,112
DLF Commanders Court,40000000.0,2583,15480.0,1,96,1,"Egmore, Chennai",1,113
"TVS Industries, Padi,Chennai",11000000.0,1213,9070.0,1,97,3,"TVS Industries, Padi,Chennai",1,114
"Rajaram Mehta Nagar, Aminjikarai,Chennai",18000000.0,1450,12410.0,1,98,3,"Rajaram Mehta Nagar, Aminjikarai,Chennai",1,115
Radiance Icon,12000000.0,1002,11980.0,1,99,6,"Nerkundram, Koyambedu,Chennai",0,116
Purva Windermere,14000000.0,2160,6480.0,1,70,16,"Pallikaranai, Chennai",1,117
Nakar Navkar Residency by Nakar Homes,12700000.0,1750,7260.0,1,100,3,"Korukkupet, Washermanpet,Chennai",1,118
Shamrock Apartment,20000000.0,1584,12630.0,1,101,3,"Dummingkuppam, Santhome,Chennai",1,119
"Vivekananda Nagar, Thoraipakkam,Chennai",17500000.0,5500,3180.0,3,102,15,"Vivekananda Nagar, Thoraipakkam,Chennai",1,120
Altis Oceanique,16000000.0,1785,8960.0,1,9,3,"Muttukadu, Chennai",1,121
"Kamaraj Nagar, Choolaimedu,Chennai",19700000.0,3000,6570.0,2,60,14,"Kamaraj Nagar, Choolaimedu,Chennai",1,122
"Suriyammapet, Saidapet,Chennai",50000000.0,2500,20000.0,2,103,14,"Suriyammapet, Saidapet,Chennai",1,123
