Baths,Balcony,PropertyID,FeatureID
4,Yes,1,1
6,Yes,2,2
3,No,3,3
5,Yes,4,4
3,Yes,5,5
3,No,6,6
3,Yes,7,7
3,Yes,8,8
3,No,9,9
2,No,10,10
2,Yes,11,11
3,No,12,12
1,Yes,13,13
3,Yes,14,14
3,No,15,15
3,No,16,16
3,No,17,17
3,Yes,18,18
5,Yes,19,19
4,Yes,20,20
3,No,21,21
4,Yes,22,22
3,Yes,23,23
3,Yes,24,24
3,Yes,25,25
3,Yes,26,26
2,Yes,27,27
3,Yes,28,28
2,No,29,29
3,No,30,30
3,No,31,31
3,Yes,32,32
3,Yes,33,33
3,No,34,34
3,Yes,35,35
3,Yes,36,36
4,Yes,37,37
3,Yes,38,38
2,Yes,39,39
3,Yes,40,40
3,No,41,41
4,Yes,42,42
2,No,43,43
3,No,44,44
2,Yes,45,45
3,Yes,46,46
3,Yes,47,47
3,Yes,48,48
3,Yes,49,49
3,Yes,50,50
3,Yes,51,51
3,Yes,52,52
2,Yes,53,53
3,Yes,54,54
3,No,55,55
3,Yes,56,56
4,Yes,57,57
3,Yes,58,58
3,Yes,59,59
3,No,60,60
3,Yes,61,61
3,No,62,62
3,Yes,63,63
2,No,64,64
3,No,65,65
3,No,66,66
3,No,67,67
3,Yes,68,68
3,No,69,69
3,Yes,70,70
2,Yes,71,71
3,No,72,72
3,Yes,73,73
3,Yes,74,74
3,Yes,75,75
3,Yes,76,76
3,Yes,77,77
3,Yes,78,78
3,Yes,79,79
3,Yes,80,80
2,No,81,81
3,No,82,82
3,No,83,83
3,No,84,84
5,Yes,85,85
2,Yes,86,86
3,Yes,87,87
2,No,88,88
3,Yes,89,89
2,Yes,90,90
3,No,91,91
1,Yes,92,92
2,Yes,93,93
3,Yes,94,94
2,No,95,95
3,No,96,96
3,Yes,97,97
3,Yes,98,98
3,No,99,99
4,Yes,100,100
3,No,101,101
1,Yes,102,102
2,Yes,103,103
3,No,104,104
3,Yes,105,105
3,Yes,106,106
2,No,107,107
3,No,108,108
2,No,109,109
4,Yes,110,110
2,Yes,111,111
3,Yes,112,112
3,No,113,113
2,Yes,114,114
3,Yes,115,115
3,Yes,116,116
3,Yes,117,117
3,Yes,118,118
2,Yes,119,119
2,No,120,120
3,Yes,121,121
3,No,122,122
2,No,123,123
3,No,124,124
3,Yes,125,125
3,Yes,126,126
3,Yes,127,127
3,No,128,128
5,Yes,129,129
2,Yes,130,130
3,No,131,131
2,No,132,132
2,No,133,133
3,Yes,134,134
3,Yes,135,135
3,Yes,136,136
5,Yes,137,137
3,Yes,138,138
4,Yes,139,139
4,Yes,140,140
3,No,141,141
3,Yes,142,142
3,No,143,143
3,Yes,144,144
3,No,145,145
2,No,146,146
3,Yes,147,147
3,No,148,148
3,Yes,149,149
3,No,150,150
3,No,151,151
2,No,152,152
3,No,153,153
4,Yes,154,154
2,Yes,155,155
3,No,156,156
3,Yes,157,157
2,Yes,158,158
2,No,159,159
3,Yes,160,160
3,No,161,161
3,No,162,162
2,Yes,163,163
2,No,164,164
3,No,165,165
2,Yes,166,166
3,No,167,167
4,Yes,168,168
3,Yes,169,169
3,No,170,170
2,No,171,171
2,Yes,172,172
3,Yes,173,173
3,No,174,174
3,No,175,175
1,No,176,176
2,Yes,177,177
2,Yes,178,178
2,No,179,179
3,No,180,180
2,No,181,181
3,Yes,182,182
3,No,183,183
2,No,184,184
3,No,185,185
3,Yes,186,186
3,Yes,187,187
3,No,188,188
3,No,189,189
3,No,190,190
3,No,191,191
2,No,192,192
2,Yes,193,193
2,Yes,194,194
3,Yes,195,195
3,No,196,196
2,Yes,197,197
3,Yes,198,198
2,No,199,199
3,No,200,200
3,No,201,201
3,No,202,202
3,No,203,203
3,Yes,204,204
3,No,205,205
3,No,206,206
2,No,207,207
3,Yes,208,208
3,No,209,209
3,No,210,210
3,No,211,211
3,No,212,212
3,No,213,213
3,No,214,214
3,Yes,215,215
4,Yes,216,216
2,No,217,217
3,No,218,218
3,No,219,219
3,No,220,220
3,No,221,221
3,Yes,222,222
3,No,223,223
3,Yes,224,224
3,Yes,225,225
3,No,226,226
3,No,227,227
2,No,228,228
3,No,229,229
2,Yes,230,230
4,Yes,231,231
2,Yes,232,232
3,No,233,233
3,No,234,234
3,Yes,235,235
4,No,236,236
3,No,237,237
3,Yes,238,238
3,No,239,239
3,Yes,240,240
3,Yes,241,241
3,No,242,242
3,No,243,243
3,Yes,244,244
3,Yes,245,245
2,Yes,246,246
3,Yes,247,247
3,No,248,248
4,Yes,249,249
3,No,250,250
3,Yes,251,251
3,Yes,252,252
3,No,253,253
3,Yes,254,254
3,No,255,255
3,Yes,256,256
3,Yes,257,257
3,Yes,258,258
3,Yes,259,259
3,No,260,260
3,Yes,261,261
3,No,262,262
3,Yes,263,263
3,No,264,264
3,No,265,265
3,No,266,266
3,No,267,267
3,Yes,268,268
3,No,269,269
3,Yes,270,270
3,Yes,271,271
3,No,272,272
3,No,273,273
3,Yes,274,274
3,No,275,275
3,Yes,276,276
3,No,277,277
3,No,278,278
3,No,279,279
3,Yes,280,280
2,Yes,281,281
3,No,282,282
2,Yes,283,283
3,No,284,284
3,Yes,285,285
4,Yes,286,286
2,No,287,287
3,No,288,288
3,Yes,289,289
3,Yes,290,290
3,No,291,291
2,Yes,292,292
3,No,293,293
3,No,294,294
3,Yes,295,295
3,Yes,296,296
2,Yes,297,297
3,Yes,298,298
3,Yes,299,299
3,Yes,300,300
2,No,301,301
2,No,302,302
3,Yes,303,303
3,Yes,304,304
3,No,305,305
2,No,306,306
3,Yes,307,307
3,No,308,308
2,Yes,309,309
3,Yes,310,310
3,No,311,311
3,No,312,312
3,Yes,313,313
3,No,314,314
3,Yes,315,315
3,Yes,316,316
2,No,317,317
3,No,318,318
3,Yes,319,319
2,Yes,320,320
3,No,321,321
3,No,322,322
3,No,323,323
3,No,324,324
3,Yes,325,325
3,Yes,326,326
2,No,327,327
3,No,328,328
2,No,329,329
5,No,330,330
3,No,331,331
3,No,332,332
2,Yes,333,333
3,Yes,334,334
2,No,335,335
3,Yes,336,336
3,Yes,337,337
3,No,338,338
2,Yes,339,339
3,No,340,340
3,No,341,341
3,No,342,342
3,Yes,343,343
2,No,344,344
3,No,345,345
2,Yes,346,346
2,Yes,347,347
3,No,348,348
2,Yes,349,349
2,Yes,350,350
4,Yes,351,351
1,Yes,352,352
3,Yes,353,353
3,Yes,354,354
4,Yes,355,355
3,No,356,356
3,Yes,357,357
3,Yes,358,358
2,No,359,359
3,No,360,360
2,Yes,361,361
3,Yes,362,362
2,Yes,363,363
3,Yes,364,364
3,Yes,365,365
3,No,366,366
3,Yes,367,367
3,No,368,368
3,Yes,369,369
2,Yes,370,370
3,No,371,371
3,No,372,372
3,Yes,373,373
3,Yes,374,374
3,No,375,375
3,No,376,376
2,Yes,377,377
3,No,378,378
2,No,379,379
4,Yes,380,380
3,No,381,381
3,No,382,382
3,Yes,383,383
2,No,384,384
3,Yes,385,385
3,No,386,386
3,No,387,387
3,No,388,388
3,Yes,389,389
3,No,390,390
3,No,391,391
1,Yes,392,392
3,Yes,393,393
2,No,394,394
3,No,395,395
2,Yes,396,396
3,No,397,397
3,Yes,398,398
2,Yes,399,399
2,No,400,400
3,No,401,401
3,No,402,402
3,Yes,403,403
3,Yes,404,404
3,Yes,405,405
3,No,406,406
2,Yes,407,407
3,Yes,408,408
3,No,409,409
3,No,410,410
2,No,411,411
3,No,412,412
3,Yes,413,413
3,No,414,414
3,No,415,415
3,Yes,416,416
3,No,417,417
3,No,418,418
3,No,419,419
3,No,420,420
2,Yes,421,421
3,No,422,422
2,No,423,423
3,No,424,424
3,No,425,425
2,No,426,426
3,Yes,427,427
2,No,428,428
3,No,429,429
3,No,430,430
4,Yes,431,431
3,No,432,432
3,No,433,433
3,Yes,434,434
3,Yes,435,435
2,No,436,436
3,No,437,437
3,No,438,438
3,Yes,439,439
3,Yes,440,440
2,No,441,441
3,No,442,442
3,No,443,443
2,No,444,444
3,No,445,445
3,Yes,446,446
3,Yes,447,447
3,Yes,448,448
3,No,449,449
2,No,450,450
3,Yes,451,451
3,No,452,452
3,No,453,453
3,Yes,454,454
3,Yes,455,455
3,No,456,456
3,Yes,457,457
3,Yes,458,458
3,No,459,459
3,No,460,460
3,No,461,461
3,Yes,462,462
3,Yes,463,463
3,No,464,464
3,No,465,465
2,No,466,466
3,No,467,467
3,No,468,468
4,Yes,469,469
3,Yes,470,470
3,No,471,471
2,Yes,472,472
3,Yes,473,473
3,Yes,474,474
3,No,475,475
3,No,476,476
3,No,477,477
3,Yes,478,478
3,No,479,479
3,No,480,480
3,Yes,481,481
3,Yes,482,482
3,Yes,483,483
2,Yes,484,484
2,No,485,485
3,Yes,486,486
3,No,487,487
3,Yes,488,488
3,Yes,489,489
3,No,490,490
2,Yes,491,491
3,No,492,492
3,No,493,493
3,No,494,494
3,Yes,495,495
3,Yes,496,496
3,Yes,497,497
3,No,498,498
3,Yes,499,499
3,Yes,500,500
2,No,501,501
3,No,502,502
3,Yes,503,503
3,Yes,504,504
3,Yes,505,505
3,Yes,506,506
3,Yes,507,507
3,No,508,508
2,Yes,509,509
3,No,510,510
3,No,511,511
3,Yes,512,512
3,Yes,513,513
3,No,514,514
5,Yes,515,515
5,Yes,516,516
2,Yes,517,517
3,Yes,518,518
3,Yes,519,519
3,Yes,520,520
3,No,521,521
2,No,522,522
2,No,523,523
3,Yes,524,524
3,Yes,525,525
3,No,526,526
3,Yes,527,527
3,Yes,528,528
2,No,529,529
3,No,530,530
2,No,531,531
4,Yes,532,532
3,Yes,533,533
3,Yes,534,534
3,No,535,535
3,No,536,536
2,No,537,537
3,Yes,538,538
3,Yes,539,539
3,No,540,540
3,No,541,541
3,No,542,542
3,No,543,543
4,Yes,544,544
2,Yes,545,545
4,Yes,546,546
3,No,547,547
2,Yes,548,548
4,No,549,549
3,Yes,550,550
2,No,551,551
3,No,552,552
3,No,553,553
3,Yes,554,554
3,No,555,555
3,No,556,556
3,No,557,557
3,No,558,558
3,No,559,559
3,Yes,560,560
2,No,561,561
3,Yes,562,562
3,No,563,563
2,Yes,564,564
3,Yes,565,565
4,Yes,566,566
2,No,567,567
2,Yes,568,568
3,Yes,569,569
3,No,570,570
3,Yes,571,571
3,No,572,572
4,Yes,573,573
2,No,574,574
2,No,575,575
2,Yes,576,576
2,Yes,577,577
3,Yes,578,578
3,Yes,579,579
3,No,580,580
3,Yes,581,581
2,No,582,582
3,Yes,583,583
2,Yes,584,584
3,Yes,585,585
2,No,586,586
5,Yes,587,587
2,No,588,588
2,No,589,589
3,No,590,590
3,Yes,591,591
3,Yes,592,592
3,Yes,593,593
2,No,594,594
4,Yes,595,595
2,No,596,596
3,Yes,597,597
2,No,598,598
3,No,599,599
4,Yes,600,600
3,No,601,601
3,No,602,602
3,No,603,603
3,No,604,604
4,Yes,605,605
2,No,606,606
3,Yes,607,607
3,Yes,608,608
3,No,609,609
3,Yes,610,610
2,Yes,611,611
3,Yes,612,612
3,No,613,613
3,Yes,614,614
2,Yes,615,615
2,No,616,616
3,Yes,617,617
3,No,618,618
3,No,619,619
2,Yes,620,620
3,Yes,621,621
2,Yes,622,622
3,Yes,623,623
3,Yes,624,624
3,Yes,625,625
3,No,626,626
3,No,627,627
3,No,628,628
3,No,629,629
3,No,630,630
3,No,631,631
3,No,632,632
2,No,633,633
3,Yes,634,634
2,Yes,635,635
3,No,636,636
4,Yes,637,637
3,No,638,638
3,No,639,639
3,No,640,640
3,Yes,641,641
3,No,642,642
2,Yes,643,643
3,No,644,644
3,Yes,645,645
2,Yes,646,646
2,No,647,647
4,Yes,648,648
3,Yes,649,649
3,No,650,650
3,No,651,651
2,No,652,652
3,No,653,653
3,Yes,654,654
3,No,655,655
3,No,656,656
3,No,657,657
2,Yes,658,658
3,No,659,659
3,No,660,660
2,No,661,661
3,Yes,662,662
3,No,663,663
3,Yes,664,664
3,Yes,665,665
2,Yes,666,666
3,Yes,667,667
2,Yes,668,668
3,No,669,669
3,No,670,670
3,No,671,671
3,No,672,672
3,Yes,673,673
3,No,674,674
2,No,675,675
3,Yes,676,676
2,No,677,677
3,Yes,678,678
3,Yes,679,679
2,Yes,680,680
3,Yes,681,681
3,No,682,682
3,No,683,683
3,No,684,684
3,Yes,685,685
2,Yes,686,686
2,No,687,687
3,No,688,688
3,Yes,689,689
2,No,690,690
3,Yes,691,691
3,No,692,692
3,No,693,693
2,No,694,694
3,Yes,695,695
2,No,696,696
3,Yes,697,697
3,Yes,698,698
2,Yes,699,699
3,Yes,700,700
3,No,701,701
3,No,702,702
3,Yes,703,703
3,No,704,704
2,Yes,705,705
3,No,706,706
3,Yes,707,707
2,Yes,708,708
3,No,709,709
3,Yes,710,710
2,Yes,711,711
3,Yes,712,712
3,No,713,713
2,No,714,714
6,Yes,715,715
3,No,716,716
3,No,717,717
3,Yes,718,718
3,No,719,719
3,No,720,720
1,Yes,721,721
3,Yes,722,722
2,Yes,723,723
3,No,724,724
3,No,725,725
3,Yes,726,726
3,No,727,727
2,Yes,728,728
3,No,729,729
3,No,730,730
2,No,731,731
5,Yes,732,732
3,No,733,733
3,Yes,734,734
4,Yes,735,735
2,No,736,736
4,Yes,737,737
3,No,738,738
3,Yes,739,739
2,Yes,740,740
3,Yes,741,741
2,Yes,742,742
2,No,743,743
2,Yes,744,744
3,Yes,745,745
3,No,746,746
3,No,747,747
3,Yes,748,748
3,No,749,749
1,Yes,750,750
3,No,751,751
2,No,752,752
3,No,753,753
2,No,754,754
2,Yes,755,755
2,Yes,756,756
5,Yes,757,757
2,Yes,758,758
3,No,759,759
3,Yes,760,760
3,No,761,761
2,No,762,762
3,No,763,763
2,Yes,764,764
3,Yes,765,765
4,Yes,766,766
3,Yes,767,767
3,Yes,768,768
3,Yes,769,769
2,Yes,770,770
3,Yes,771,771
3,No,772,772
3,No,773,773
2,No,774,774
3,Yes,775,775
3,Yes,776,776
4,Yes,777,777
6,Yes,778,778
2,Yes,779,779
2,Yes,780,780
3,Yes,781,781
2,Yes,782,782
3,No,783,783
2,No,784,784
2,Yes,785,785
2,Yes,786,786
4,Yes,787,787
2,Yes,788,788
3,No,789,789
4,Yes,790,790
2,Yes,791,791
3,No,792,792
3,Yes,793,793
2,No,794,794
3,Yes,795,795
2,No,796,796
3,Yes,797,797
3,No,798,798
3,Yes,799,799
1,Yes,800,800
3,No,801,801
2,Yes,802,802
3,Yes,803,803
1,No,804,804
3,No,805,805
2,Yes,806,806
3,No,807,807
2,No,808,808
3,No,809,809
5,Yes,810,810
3,Yes,811,811
2,No,812,812
5,Yes,813,813
3,No,814,814
3,No,815,815
3,Yes,816,816
3,No,817,817
3,No,818,818
2,No,819,819
2,No,820,820
1,Yes,821,821
2,Yes,822,822
2,No,823,823
3,Yes,824,824
3,No,825,825
3,Yes,826,826
3,Yes,827,827
3,Yes,828,828
4,Yes,829,829
2,Yes,830,830
2,Yes,831,831
3,No,832,832
4,Yes,833,833
3,No,834,834
3,Yes,835,835
2,No,836,836
2,Yes,837,837
3,Yes,838,838
3,Yes,839,839
2,Yes,840,840
2,Yes,841,841
2,Yes,842,842
2,Yes,843,843
2,Yes,844,844
3,Yes,845,845
3,Yes,846,846
2,Yes,847,847
3,No,848,848
3,Yes,849,849
3,Yes,850,850
2,No,851,851
2,No,852,852
2,Yes,853,853
3,Yes,854,854
2,No,855,855
2,Yes,856,856
3,Yes,857,857
3,Yes,858,858
2,Yes,859,859
3,Yes,860,860
3,Yes,861,861
2,Yes,862,862
3,Yes,863,863
3,Yes,864,864
5,Yes,865,865
3,Yes,866,866
3,Yes,867,867
5,Yes,868,868
3,No,869,869
3,Yes,870,870
3,Yes,871,871
3,No,872,872
3,Yes,873,873
2,No,874,874
3,Yes,875,875
2,No,876,876
3,Yes,877,877
2,No,878,878
2,Yes,879,879
5,Yes,880,880
3,No,881,881
2,Yes,882,882
4,Yes,883,883
3,No,884,884
3,Yes,885,885
3,No,886,886
3,No,887,887
2,No,888,888
1,Yes,889,889
4,Yes,890,890
2,No,891,891
4,Yes,892,892
2,No,893,893
3,No,894,894
3,Yes,895,895
3,No,896,896
3,Yes,897,897
2,No,898,898
3,Yes,899,899
2,Yes,900,900
3,Yes,901,901
3,No,902,902
3,No,903,903
2,Yes,904,904
2,No,905,905
2,Yes,906,906
2,Yes,907,907
5,Yes,908,908
6,Yes,909,909
2,Yes,910,910
1,No,911,911
2,No,912,912
4,Yes,913,913
2,Yes,914,914
3,No,915,915
6,Yes,916,916
2,Yes,917,917
3,No,918,918
3,Yes,919,919
5,Yes,920,920
3,No,921,921
3,Yes,922,922
3,Yes,923,923
2,Yes,924,924
3,No,925,925
2,No,926,926
2,Yes,927,927
2,Yes,928,928
4,Yes,929,929
2,Yes,930,930
