Location,LocationID
"Kanathur Reddikuppam, Chennai",1
"Ramanathan Nagar, Pozhichalur,Chennai",2
"Kasthuribai Nagar, West Tambaram,Chennai",3
"Naveenilaya,Chepauk, Triplicane,Chennai",4
"Avadi, Chennai",5
"Siruseri, Chennai",6
"THIRAN FLATS ,Gowrivakkam, Sembakkam,Chennai",7
"Mahindra World City, Chennai",8
"Brindavan Colony, West Tambaram,Chennai",9
"New Colony, Chromepet,Chennai",10
"Rose Avenue, Pallikaranai,Chennai",12
"Ramakrishna Puram, West Mambalam,Chennai",13
"Deepak home,Mettuppalayam, Ashok Nagar,Chennai",14
"Chimaera Apartments,Madambakkam, Chennai",15
"Perungalathur, Chennai",16
"ARUN EXCELLO ,Padappai, Chennai",17
"Tirumurthy Nagar, Nungambakkam,Chennai",18
"Muttukadu, Chennai",19
"Kolapakkam - Vandalur, Chennai",21
"penta concept enclave,Thiruverkkadu, Chennai",22
"MGR Nagar, Ayappakkam,Chennai",23
"Ultra Amaar Avenue Phase 2,Choolaimedu, Chennai",24
"Vallalar Kudil,Sarathi Nagar, Saidapet,Chennai",25
"Elim Nagar, Perungudi,Chennai",26
"Senganmal, Chennai",27
"Vaishnavi Nagar, Thirumullaivoyal,Chennai",28
"Live Green,Kattur, Chennai",29
"Tiruvancheri, Selaiyur,Chennai",30
"Sholinganallur, Chennai",31
"Semmanjeri, Semmancheri,Chennai",32
"Annamalai Colony, Saligramam,Chennai",33
"Vn Nattrunai ,Thirumullaivoyal, Chennai",34
"Krishna Nagar, Sriperumbudur,Chennai",35
"Ponmar, Chennai",36
"Swarnambigai Nagar, Virugambakkam,Chennai",37
"Sai Dhanu Regency,Radhakrishnan Nagar, Adyar,Chennai",38
"Meenakshi Avenue, West Tambaram,Chennai",39
"Kottavakkam, Chennai",40
"Arjunamedu, Thiruverkkadu,Chennai",41
"Bharathi Nagar, Ayanavaram,Chennai",42
"LIVEGREEN CONSTRUCTIONS,Sembakkam, Chennai",43
"Arulmurugan Nagar, Old Pallavaram,Chennai",44
"Veppampattu, Chennai",45
"Shankar Nagar, Pammal,Chennai",46
"Naveen vanagaram,Kanchuma Puram, Vanagaram ,Chennai",47
"LAND MARVEL KARPAGAMBAL,Jeth Nagar, Chennai",48
"Madambakkam, Chennai",49
"Urapakkam, Chennai",50
"Tambaram Mount, West Tambaram,Chennai",52
"Building velachery ,Anna Nagar Extension, Velachery,Chennai",53
"Shri Vihar ,Sembakkam, Chennai",54
"Krishnaveni Nagar, Medavakkam,Chennai",55
"Ma. Po. Si. Nagar, Thiruvallur,Chennai",56
"TNHB Colony, Villivakkam,Chennai",57
