Price,Price_per_SQFT,PropertyID,PriceID
₹1.99 Cr,7700.0,1,1
₹2.25 Cr,3210.0,2,2
₹1.0 Cr,7580.0,3,3
₹3.33 Cr,7840.0,4,4
₹48.0 L,5000.0,5,5
₹40.0 L,4250.0,6,6
₹60.0 L,6820.0,7,7
₹72.35 L,4250.0,8,8
₹42.0 L,5000.0,9,9
₹30.0 L,5610.0,10,10
₹29.4 L,5060.0,11,11
₹1.3 Cr,9000.0,12,12
₹8.5 Cr,14170.0,13,13
₹1.15 Cr,13100.0,14,14
₹49.0 L,5190.0,15,15
₹57.0 L,4330.0,16,16
₹25.0 L,3050.0,17,17
₹2.6 Cr,15680.0,18,18
₹2.97 Cr,7070.0,19,19
₹1.62 Cr,5710.0,20,20
₹1.08 Cr,6900.0,21,21
₹1.0 Cr,4250.0,22,22
₹40.0 L,4610.0,23,23
₹89.0 L,9610.0,24,24
₹63.0 L,5780.0,25,25
₹90.0 L,6880.0,26,26
₹25.0 L,4130.0,27,27
₹49.5 L,5120.0,28,28
₹29.0 L,4950.0,29,29
₹45.0 L,4330.0,30,30
₹70.0 L,4670.0,31,31
₹46.0 L,4060.0,32,32
₹89.5 L,8140.000000000001,33,33
₹45.0 L,4390.0,34,34
₹54.0 L,3580.0,35,35
₹87.0 L,4880.0,36,36
₹2.5 Cr,10000.0,37,37
₹70.0 L,7780.0,38,38
₹26.0 L,4840.0,39,39
₹90.0 L,6960.0,40,40
₹54.0 L,4930.0,41,41
₹2.4 Cr,10430.0,42,42
₹29.0 L,4950.0,43,43
₹90.0 L,8090.0,44,44
₹24.8 L,4430.0,45,45
₹37.0 L,4320.0,46,46
₹65.0 L,6020.0,47,47
₹1.2 Cr,10910.0,48,48
₹56.0 L,3910.0,49,49
₹45.0 L,4830.0,50,50
₹45.0 L,3000.0,51,51
₹75.0 L,6250.0,52,52
₹32.0 L,5420.0,53,53
₹85.0 L,5410.0,54,54
₹36.0 L,4460.0,55,55
₹50.0 L,3160.0,56,56
₹2.25 Cr,9380.0,57,57
₹1.6 Cr,11850.0,58,58
₹65.0 L,4640.0,59,59
₹32.0 L,3370.0,60,60
₹55.0 L,6470.0,61,61
₹54.0 L,6280.0,62,62
₹79.0 L,6080.0,63,63
₹85.0 L,10900.0,64,64
₹67.0 L,6090.0,65,65
₹99.0 L,8300.0,66,66
₹1.2 Cr,8890.0,67,67
₹75.0 L,6250.0,68,68
₹63.0 L,6660.0,69,69
₹88.0 L,8260.0,70,70
₹26.86 L,4630.0,71,71
₹64.9 L,5590.0,72,72
₹58.0 L,5500.0,73,73
₹2.75 Cr,14180.0,74,74
₹90.0 L,9590.0,75,75
₹1.15 Cr,6720.0,76,76
₹2.39 Cr,18000.0,77,77
₹30.0 L,2760.0,78,78
₹27.28 L,3100.0,79,79
₹70.0 L,4830.0,80,80
₹28.0 L,6060.0,81,81
₹93.0 L,10330.0,82,82
₹45.0 L,4980.0,83,83
₹65.0 L,6910.0,84,84
₹5.13 Cr,9500.0,85,85
₹43.75 L,5500.0,86,86
₹69.0 L,6970.0,87,87
₹45.0 L,7140.0,88,88
₹1.0 Cr,9090.0,89,89
₹29.5 L,4930.0,90,90
₹72.0 L,7840.0,91,91
₹3.78 Cr,11450.0,92,92
₹15.0 L,3060.0,93,93
₹1.3 Cr,7260.0,94,94
₹18.0 L,3600.0,95,95
₹78.0 L,5160.0,96,96
₹48.5 L,5010.0,97,97
₹72.0 L,4310.0,98,98
₹36.0 L,3380.0,99,99
₹3.0 Cr,11270.0,100,100
₹72.0 L,7200.0,101,101
₹6.5 Cr,8130.000000000001,102,102
₹17.0 L,2660.0,103,103
₹58.5 L,6090.0,104,104
₹58.5 L,5010.0,105,105
₹2.3 Cr,13940.0,106,106
₹40.0 L,5240.0,107,107
₹45.0 L,5380.0,108,108
₹40.4 L,7800.0,109,109
₹3.0 Cr,8570.0,110,110
₹56.0 L,9030.0,111,111
₹30.0 L,3000.0,112,112
₹2.75 Cr,18390.0,113,113
₹45.0 L,8039.999999999999,114,114
₹45.0 L,5420.0,115,115
₹50.0 L,5860.0,116,116
₹60.0 L,6040.0,117,117
₹1.1 Cr,6110.0,118,118
₹41.0 L,7500.0,119,119
₹45.0 L,6160.0,120,120
₹33.0 L,3590.0,121,121
₹1.15 Cr,8210.0,122,122
₹32.0 L,4800.0,123,123
₹39.0 L,3900.0,124,124
₹54.5 L,6410.0,125,125
₹45.0 L,4730.0,126,126
₹77.0 L,5580.0,127,127
₹1.1 Cr,9200.0,128,128
₹4.2 Cr,8750.0,129,129
₹36.5 L,5290.0,130,130
₹60.0 L,6110.0,131,131
₹36.5 L,6080.0,132,132
₹30.0 L,3900.0,133,133
₹39.5 L,4700.0,134,134
₹39.0 L,2360.0,135,135
₹1.53 Cr,11420.0,136,136
₹2.6 Cr,7430.0,137,137
₹2.44 Cr,12970.0,138,138
₹1.25 Cr,5600.0,139,139
₹1.4 Cr,6610.0,140,140
₹94.6 L,6630.0,141,141
₹60.0 L,5350.0,142,142
₹67.0 L,5310.0,143,143
₹1.32 Cr,7820.0,144,144
₹45.0 L,5080.0,145,145
₹45.0 L,7260.0,146,146
₹60.0 L,5490.0,147,147
₹70.0 L,6680.0,148,148
₹85.0 L,5450.0,149,149
₹50.0 L,5860.0,150,150
₹52.0 L,3950.0,151,151
₹52.0 L,8410.0,152,152
₹2.9 Cr,24170.0,153,153
₹1.65 Cr,7670.0,154,154
₹29.0 L,4800.0,155,155
₹38.0 L,4540.0,156,156
₹72.0 L,7130.0,157,157
₹47.0 L,11060.0,158,158
₹45.0 L,6330.0,159,159
₹1.25 Cr,8090.0,160,160
₹88.41 L,5700.0,161,161
₹80.0 L,5920.0,162,162
₹45.0 L,6330.0,163,163
₹45.0 L,6330.0,164,164
₹72.0 L,7490.0,165,165
₹24.0 L,4980.0,166,166
₹72.0 L,6940.0,167,167
₹1.5 Cr,6820.0,168,168
₹55.0 L,5090.0,169,169
₹63.0 L,6490.0,170,170
₹42.0 L,6770.0,171,171
₹19.5 L,3420.0,172,172
₹55.0 L,5850.0,173,173
₹99.0 L,6610.0,174,174
₹42.0 L,4260.0,175,175
₹20.5 L,5810.0,176,176
₹27.0 L,4400.0,177,177
₹24.0 L,4030.000000000001,178,178
₹38.0 L,5350.0,179,179
₹1.17 Cr,11940.0,180,180
₹60.0 L,9230.0,181,181
₹75.75 L,7010.0,182,182
₹75.0 L,5360.0,183,183
₹38.0 L,5430.0,184,184
₹55.0 L,6550.0,185,185
₹3.8 Cr,19120.0,186,186
₹2.5 Cr,16850.0,187,187
₹33.3 L,4160.0,188,188
₹2.25 Cr,15400.0,189,189
₹85.0 L,6590.0,190,190
₹35.0 L,4000.0,191,191
₹50.0 L,8220.0,192,192
₹30.0 L,4620.0,193,193
₹50.0 L,8910.0,194,194
₹65.0 L,5200.0,195,195
₹40.0 L,2670.0,196,196
₹48.0 L,6320.0,197,197
₹65.0 L,6070.0,198,198
₹24.75 L,5360.0,199,199
₹40.0 L,4280.0,200,200
₹58.7 L,6790.0,201,201
₹40.0 L,4820.0,202,202
₹1.45 Cr,10820.0,203,203
₹1.75 Cr,10940.0,204,204
₹44.0 L,3560.0,205,205
₹57.0 L,5820.0,206,206
₹32.0 L,5750.0,207,207
₹45.0 L,5360.0,208,208
₹41.0 L,3850.0,209,209
₹65.0 L,6970.0,210,210
₹45.0 L,4590.0,211,211
₹41.0 L,4540.0,212,212
₹42.0 L,4420.0,213,213
₹77.19 L,6200.0,214,214
₹1.6 Cr,12610.0,215,215
₹65.0 L,2930.0,216,216
₹18.5 L,3850.0,217,217
₹53.0 L,5890.0,218,218
₹86.0 L,6370.0,219,219
₹69.99 L,5650.0,220,220
₹57.0 L,5150.0,221,221
₹55.0 L,6060.0,222,222
₹75.0 L,6000.0,223,223
₹54.0 L,5510.0,224,224
₹64.0 L,7750.0,225,225
₹65.0 L,7740.0,226,226
₹45.7 L,5080.0,227,227
₹35.0 L,5070.0,228,228
₹54.0 L,5900.0,229,229
₹45.0 L,5630.0,230,230
₹1.0 Cr,4170.0,231,231
₹45.0 L,7400.0,232,232
₹48.0 L,5330.0,233,233
₹55.0 L,6550.0,234,234
₹66.0 L,6350.0,235,235
₹28.0 L,3500.0,236,236
₹68.0 L,6480.0,237,237
₹96.0 L,10670.0,238,238
₹80.0 L,8500.0,239,239
₹40.0 L,4870.0,240,240
₹50.0 L,4170.0,241,241
₹57.0 L,6520.0,242,242
₹84.0 L,8400.0,243,243
₹56.0 L,4960.0,244,244
₹65.0 L,7070.0,245,245
₹40.0 L,5170.0,246,246
₹45.0 L,4920.0,247,247
₹56.0 L,6670.0,248,248
₹33.0 L,1380.0,249,249
₹1.04 Cr,9000.0,250,250
₹1.05 Cr,10940.0,251,251
₹1.05 Cr,10940.0,252,252
₹55.0 L,6430.0,253,253
₹55.0 L,6180.0,254,254
₹1.15 Cr,8420.0,255,255
₹33.33 L,3300.0,256,256
₹1.1 Cr,6340.0,257,257
₹86.0 L,5230.0,258,258
₹93.0 L,5030.0,259,259
₹33.0 L,3980.0,260,260
₹68.0 L,4850.0,261,261
₹49.0 L,5080.0,262,262
₹2.4 Cr,13040.0,263,263
₹85.0 L,9280.0,264,264
₹29.0 L,3560.0,265,265
₹98.91 L,7330.0,266,266
₹51.11 L,5610.0,267,267
₹99.0 L,10940.0,268,268
₹35.0 L,4120.0,269,269
₹46.0 L,3830.0,270,270
₹74.0 L,6430.0,271,271
₹75.0 L,7500.0,272,272
₹45.0 L,5420.0,273,273
₹89.0 L,10380.0,274,274
₹1.0 Cr,8700.0,275,275
₹42.0 L,3960.0,276,276
₹1.2 Cr,12710.0,277,277
₹70.0 L,5640.0,278,278
₹85.0 L,9030.0,279,279
₹54.0 L,4700.0,280,280
₹31.0 L,4960.0,281,281
₹75.0 L,6250.0,282,282
₹47.0 L,6620.0,283,283
₹78.0 L,9740.0,284,284
₹65.0 L,7650.0,285,285
₹1.7 Cr,6070.0,286,286
₹31.25 L,5000.0,287,287
₹1.3 Cr,8440.0,288,288
₹70.0 L,5130.0,289,289
₹64.0 L,5120.0,290,290
₹52.0 L,6190.0,291,291
₹21.0 L,4320.0,292,292
₹76.0 L,5280.0,293,293
₹70.0 L,6480.0,294,294
₹72.0 L,6510.0,295,295
₹72.0 L,5500.0,296,296
₹40.0 L,5150.0,297,297
₹75.0 L,4570.0,298,298
₹55.0 L,6000.0,299,299
₹4.5 Cr,12160.0,300,300
₹20.5 L,4220.0,301,301
₹28.0 L,4250.0,302,302
₹33.33 L,3300.0,303,303
₹80.0 L,4300.0,304,304
₹34.0 L,3260.0,305,305
₹28.0 L,5580.0,306,306
₹41.0 L,3900.0,307,307
₹34.0 L,4110.0,308,308
₹70.0 L,9330.0,309,309
₹95.0 L,8640.0,310,310
₹42.0 L,4810.0,311,311
₹57.0 L,5510.0,312,312
₹55.0 L,5160.0,313,313
₹65.0 L,5380.0,314,314
₹39.0 L,3900.0,315,315
₹73.0 L,6080.0,316,316
₹27.0 L,3970.0,317,317
₹95.0 L,11430.0,318,318
