builder_name,rera_id,created_at
AJMERA BOULEVARD,,2024-11-28 13:51:27.711275
Godrej Avenue Eleven,,2024-11-28 13:51:27.711275
Salasar Exotica,,2024-11-28 13:51:27.711275
Sheetal Kiara,,2024-11-28 13:51:27.712276
Piramal Mahalaxmi,,2024-11-28 13:51:27.712276
Bharat altavista,,2024-11-28 13:51:27.713275
Alora,,2024-11-28 13:51:27.713275
Stardeous,,2024-11-28 13:51:27.713275
Lodha Bellagio,,2024-11-28 13:51:27.714329
Godrej Reserve,,2024-11-28 13:51:27.714329
Godrej Sky Terraces,,2024-11-28 13:51:27.714329
Supreme Boulevard,,2024-11-28 13:51:27.715334
Codename Triumph Tower 1,,2024-11-28 13:51:27.715334
Rustomjee 180 Bayview,,2024-11-28 13:51:27.716331
Codename Triumph Tower 1,,2024-11-28 13:51:27.716331
Satre Happynest,,2024-11-28 13:51:27.716331
Gold Residences,,2024-11-28 13:51:27.716331
Runwal Bliss,,2024-11-28 13:51:27.717339
Rustomjee Crown,,2024-11-28 13:51:27.717339
Raheja Amaltis,,2024-11-28 13:51:27.717339
JVMs Monica Gardens,,2024-11-28 13:51:27.718344
Rejuve 360,,2024-11-28 13:51:27.718344
10 BKC,,2024-11-28 13:51:27.718344
Fortune Florence,,2024-11-28 13:51:27.719468
Raheja imperia 2,,2024-11-28 13:51:27.719468
Modirealty Ashvattha,,2024-11-28 13:51:27.719468
Advent Neel,,2024-11-28 13:51:27.719468
Metro Millennium,,2024-11-28 13:51:27.720654
Redevelopment of Kaveri CHSL,,2024-11-28 13:51:27.720654
Skyline,,2024-11-28 13:51:27.720654
Unknown Builder,,2024-11-28 13:51:41.929533
Unknown Builder,,2024-11-28 13:51:41.929533
Unknown Builder,,2024-11-28 13:51:41.930036
Unknown Builder,,2024-11-28 13:51:41.930036
Unknown Builder,,2024-11-28 13:51:41.931040
Unknown Builder,,2024-11-28 13:51:41.931040
Unknown Builder,,2024-11-28 13:51:41.932044
Unknown Builder,,2024-11-28 13:51:41.932044
Unknown Builder,,2024-11-28 13:51:41.933042
Unknown Builder,,2024-11-28 13:51:41.933042
ASSETZ CANVAS and COVE 2.0,,2024-11-28 13:51:41.933042
Orient Grand,,2024-11-28 13:51:41.933042
DNR PARKLINK PHASE 2,,2024-11-28 13:51:41.934258
Prestige Elysian,,2024-11-28 13:51:41.934258
Nikoo Homes V Phase 2,,2024-11-28 13:51:41.934762
The Presidential Tower,,2024-11-28 13:51:41.934762
2Getherments Hoodi,,2024-11-28 13:51:41.934762
Brigade Panorama,,2024-11-28 13:51:41.935767
Sobha Infinia Phase 2,,2024-11-28 13:51:41.935767
DNR PARKLINK PHASE 2,,2024-11-28 13:51:41.935767
Godrej Lakeside Orchard,,2024-11-28 13:51:41.935767
Lodha Mirabelle,,2024-11-28 13:51:41.935767
Mana Dale,,2024-11-28 13:51:41.937270
Sobha Infinia Phase 2,,2024-11-28 13:51:41.937270
Vainavi Celestium,,2024-11-28 13:51:41.937270
Brigade Insignia,,2024-11-28 13:51:41.938279
Sobha Neopolis,,2024-11-28 13:51:41.938279
Sumadhura Epitome,,2024-11-28 13:51:41.938279
Lodha Mirabelle,,2024-11-28 13:51:41.939247
Prestige Pine Forest,,2024-11-28 13:51:41.939247
Mana Foresta,,2024-11-28 13:51:45.415670
Rohan Upavan,,2024-11-28 13:51:45.415670
TATA PROMONT PHASE II,,2024-11-28 13:51:45.415670
Godrej Lakeside Orchard,,2024-11-28 13:51:45.416675
Prestige Raintree Park,,2024-11-28 13:51:45.416675
Prestige Raintree Park,,2024-11-28 13:51:45.416675
Godrej Lakeside Orchard,,2024-11-28 13:51:45.417679
Prestige Pine Forest,,2024-11-28 13:51:45.417679
Phoenix Kessaku,,2024-11-28 13:51:45.418184
Prestige Somerville,,2024-11-28 13:51:45.418184
TATA PROMONT PHASE II,,2024-11-28 13:51:45.418184
Century Regalia,,2024-11-28 13:51:45.419190
Mahindra Zen,,2024-11-28 13:51:45.419190
Prestige Leela Residences,,2024-11-28 13:51:45.419190
Birla Ojasvi,,2024-11-28 13:51:45.420191
Vaswani Starlight,,2024-11-28 13:51:45.420191
Prestige Raintree Park,,2024-11-28 13:51:45.420191
Prestige Pine Forest,,2024-11-28 13:51:45.421189
ENGRACE VISTA,,2024-11-28 13:51:45.421189
Sobha Neopolis,,2024-11-28 13:51:45.421189
Srikara Green Edge,,2024-11-28 13:51:45.422189
Sobha Ayana at Dream Acres,,2024-11-28 13:51:45.422189
Nikoo Homes VI Phase 2,,2024-11-28 13:51:45.422189
Prestige Raintree Park,,2024-11-28 13:51:45.423195
Shriram Serenity,,2024-11-28 13:51:45.423195
Birla Ojasvi,,2024-11-28 13:51:45.423195
Provident Ecopolitan,,2024-11-28 13:51:45.424191
Sumadhura Epitome,,2024-11-28 13:51:45.424191
Elegant Tranquility,,2024-11-28 13:51:45.424191
Pacifica Hamilton Tower,,2024-11-28 13:51:45.425189
Supreme Villagio,,2024-11-28 13:51:56.289822
The Trinity,,2024-11-28 13:51:56.289822
Yashwin Enchante,,2024-11-28 13:51:56.289822
Puneville,,2024-11-28 13:51:56.290818
Life Republic Sector R22 Avenue Atmos,,2024-11-28 13:51:56.290818
Venkatesh Laurel,,2024-11-28 13:51:56.290818
Puneville,,2024-11-28 13:51:56.290818
Renuka Panch Tattva,,2024-11-28 13:51:56.292322
Kumar Parc Residences,,2024-11-28 13:51:56.292322
Pride Wellington,,2024-11-28 13:51:56.292322
Seraph Supremus B Wing,,2024-11-28 13:51:56.293329
24K Manor,,2024-11-28 13:51:56.293329
The Canary,,2024-11-28 13:51:56.293329
Bramha the Collection,,2024-11-28 13:51:56.294327
Life Republic Aros,,2024-11-28 13:51:56.294327
K PUNE,,2024-11-28 13:51:56.294327
Kohinoor Riverdale,,2024-11-28 13:51:56.295579
Supreme Towers,,2024-11-28 13:51:56.295579
Joyville Celestia,,2024-11-28 13:51:56.295579
The Gale at Godrej Park World,,2024-11-28 13:51:56.296585
VTP Altair,,2024-11-28 13:51:56.296585
VTP Dolce Vita,,2024-11-28 13:51:56.296585
Rohan Nidita,,2024-11-28 13:51:56.297584
Life Republic Sector R22 Avenue Atmos,,2024-11-28 13:51:56.298089
Zenistry,,2024-11-28 13:51:56.298089
Yoo One,,2024-11-28 13:51:56.298593
Osian Almanova,,2024-11-28 13:51:56.298593
The Ornate,,2024-11-28 13:51:56.298593
Mantra Magnus,,2024-11-28 13:51:56.299598
K Shire,,2024-11-28 13:51:56.299598
Unknown Builder,,2024-11-28 13:52:12.990650
Unknown Builder,,2024-11-28 13:52:12.990650
Unknown Builder,,2024-11-28 13:52:12.990650
Unknown Builder,,2024-11-28 13:52:12.992398
