property_name,total_area_sqft,price,rera_number,created_at
"3 BHK Flat for Sale in AJMERA BOULEVARD, Malad West, Mumbai",1175.0,38200000.0,,2024-11-28 13:51:27.711275
"4 BHK Flat for Sale in Godrej Avenue Eleven, Mahalakshmi, Mumbai",2095.0,129600000.00000001,,2024-11-28 13:51:27.711275
"3 BHK Flat for Sale in Salasar Exotica, Mira Road Area, Mumbai",842.0,11200000.000000002,,2024-11-28 13:51:27.711275
"2 BHK Flat for Sale in Sheetal Kiara, Goregaon West, Mumbai",666.0,16100000.000000002,,2024-11-28 13:51:27.712276
"3 BHK Flat for Sale in Piramal Mahalaxmi, Mahalakshmi, Mumbai",988.0,46600000.0,,2024-11-28 13:51:27.712276
"3 BHK Flat for Sale in Bharat altavista, Andheri West, Mumbai",1308.0,59000000.0,,2024-11-28 13:51:27.713275
"2 BHK Flat for Sale in Alora, Kalina, Mumbai",791.0,33200000.0,,2024-11-28 13:51:27.713275
"3 BHK Flat for Sale in Stardeous, Tardeo, Mumbai",1182.0,64000000.0,,2024-11-28 13:51:27.713275
"3 BHK Flat for Sale in Lodha Bellagio, Powai, Mumbai",1400.0,40500000.0,,2024-11-28 13:51:27.714329
"4 BHK Flat for Sale in Godrej Reserve, Kandivali East, Mumbai",2016.0,59400000.00000001,,2024-11-28 13:51:27.714329
"3 BHK Flat for Sale in Godrej Sky Terraces, Chembur, Mumbai",1516.0,70400000.0,,2024-11-28 13:51:27.714329
"3 BHK Flat for Sale in Supreme Boulevard, Chembur, Mumbai",938.0,30800000.0,,2024-11-28 13:51:27.715334
"3 BHK Flat for Sale in Codename Triumph Tower 1, Bhandup West, Mumbai",1185.0,33900000.0,,2024-11-28 13:51:27.715334
"4 BHK Flat for Sale in Rustomjee 180 Bayview, Matunga West, Mumbai",1646.0,74000000.0,,2024-11-28 13:51:27.716331
"3 BHK Flat for Sale in Codename Triumph Tower 1, Bhandup West, Mumbai",1000.0,28600000.0,,2024-11-28 13:51:27.716331
"2 BHK Flat for Sale in Satre Happynest, Kanjurmarg East, Mumbai",663.0,14700000.0,,2024-11-28 13:51:27.716331
"3 BHK Flat for Sale in Gold Residences, Vile Parle East, Mumbai",856.0,41000000.0,,2024-11-28 13:51:27.716331
"2 BHK Flat for Sale in Runwal Bliss, Kanjurmarg East, Mumbai",809.0,27700000.0,,2024-11-28 13:51:27.717339
"4 BHK Flat for Sale in Rustomjee Crown, Prabhadevi, Mumbai",2000.0,133699999.99999999,,2024-11-28 13:51:27.717339
"4 BHK Flat for Sale in Raheja Amaltis, Sion West, Mumbai",2175.0,83699999.99999999,,2024-11-28 13:51:27.717339
"3 BHK Flat for Sale in JVMs Monica Gardens, Mulund East, Mumbai",1055.0,31800000.0,,2024-11-28 13:51:27.718344
"4 BHK Flat for Sale in Rejuve 360, Mulund West, Mumbai",1312.0,34900000.0,,2024-11-28 13:51:27.718344
"3 BHK Flat for Sale in 10 BKC, Bandra Kurla Complex, Mumbai",1204.0,73400000.0,,2024-11-28 13:51:27.718344
"2 BHK Flat for Sale in Fortune Florence, Borivali East, Mumbai",940.0,27700000.0,,2024-11-28 13:51:27.719468
"4 BHK Flat for Sale in Raheja imperia 2, Lower Parel West, Mumbai",2057.0,110800000.0,,2024-11-28 13:51:27.719468
"2 BHK Flat for Sale in Modirealty Ashvattha, Dahisar East, Mumbai",653.0,15300000.0,,2024-11-28 13:51:27.719468
"2 BHK Flat for Sale in Advent Neel, Vile Parle West, Mumbai",747.0,44800000.00000001,,2024-11-28 13:51:27.719468
"4 BHK Flat for Sale in Metro Millennium, Malad West, Mumbai",1428.0,42800000.0,,2024-11-28 13:51:27.720654
"3 BHK Flat for Sale in Redevelopment of Kaveri CHSL, Malad West, Mumbai",1110.0,31000000.0,,2024-11-28 13:51:27.720654
"2 BHK Flat for Sale in Skyline, Bhayandar West, Mumbai",759.0,15200000.0,,2024-11-28 13:51:27.720654
"4 BHK Flat for Sale in Thanisandra Main Road, Bangalore",2553.0,26700000.0,,2024-11-28 13:51:41.929533
"3 BHK Flat for Sale in Soukya Road, Bangalore",1480.0,13500000.0,,2024-11-28 13:51:41.929533
"4 BHK Flat for Sale in Hebbal, Bangalore",3108.0,86800000.0,,2024-11-28 13:51:41.930036
"3 BHK Flat for Sale in Yelahanka, Bangalore",1667.0,22700000.0,,2024-11-28 13:51:41.930036
"2 BHK Flat for Sale in Thanisandra Main Road, Bangalore",651.0,9700000.0,,2024-11-28 13:51:41.931040
"3 BHK Flat for Sale in Sarjapur Road, Bangalore",1182.0,17600000.0,,2024-11-28 13:51:41.931040
"4 BHK Flat for Sale in Whitefield, Bangalore",2428.0,25600000.0,,2024-11-28 13:51:41.932044
"2 BHK Flat for Sale in Devanahalli, Bangalore",1273.0,8100000.0,,2024-11-28 13:51:41.932044
"3 BHK Flat for Sale in Gunjur, Bangalore",1885.0,21300000.0,,2024-11-28 13:51:41.933042
"3 BHK Flat for Sale in Bagaluru, Bangalore",1427.0,13600000.000000002,,2024-11-28 13:51:41.933042
"3 BHK Flat for Sale in Begur Road, Bangalore",1501.0,16000000.0,,2024-11-28 13:51:41.933042
